Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Code,Name,Message,Error Type,Hướng xử lý
49,ZPBANK_MAPACCOUNT_SUCCESSFUL,Liên kết thành công ở phía ngân hàng,,
48,ZPMAPACCOUNT_WAIT_FOR_QUERY_ORDER,Đang đợi kết quả,,
47,ZPMAPACCOUNT_WAIT_FOR_PROCESS,Đang đợi xử lý,,
46,ZPMAPACCOUNT_INQUEUE,Đang xử lý,,
37,ZPBANK_MAPCARD_SUCCESSFUL,Liên kết thành công ở phía ngân hàng,,
36,UM_REGISTER_PHONE_RETRY_OTP,Mã xác thực không hợp lệ,,
35,UM_REQUIRE_PHONE_NUMBER,Yêu cầu cập nhập số điện thoại,,
29,MAPCARD_INQUEUE,Giao dịch vẫn đang được xử lý.,,
28,MAPCARD_PAY123_SUCCESSFUL,Giao dịch vẫn đang được xử lý.,,
27,MAPCARD_WAIT_FOR_QUERY_ORDER,Giao dịch vẫn đang được xử lý.,,
26,MAPCARD_WAIT_FOR_PROCESS,Giao dịch vẫn đang được xử lý.,,
24,NEED_CODE_TEST,Nhập code để tiếp tục.,,
23,RETRY_PIN,Sai mật khẩu thanh toán. Vui lòng nhập lại.,,
19,ZPW_PURCHASE_SUCCESSFUL,Giao dịch vẫn đang được xử lý,,
18,ATM_CHARGE_SUCCESSFUL,Giao dịch vẫn đang được xử lý,,
17,ATM_RETRY_OTP,Sai OTP. Vui lòng nhập lại.,,
16,ATM_RETRY_CAPTCHA,Sai Mã xác nhận. Vui lòng nhập lại,,
15,IN_GET_STATUS_ATM_QUEUE,Giao dịch vẫn đang được xử lý,,
14,ATM_AUTHEN_PAYER_SUCCESS,Giao dịch vẫn đang được xử lý,,
13,ATM_VERIFY_OTP_SUCCESS,Giao dịch vẫn đang được xử lý,,
12,ATM_VERIFY_CARD_SUCCESSFUL,Giao dịch vẫn đang được xử lý,,
10,INIT,Giao dịch vẫn đang được xử lý,,
9,ATM_WAIT_FOR_CHARGE,Giao dịch vẫn đang được xử lý,,
6,UM_REQUEST_PROCESSING,Giao dịch vẫn đang được xử lý,,
5,PROCESSING,Giao dịch vẫn đang được xử lý,,
4,IN_NOTIFY_QUEUE,Giao dịch vẫn đang được xử lý,,
3,CREATE_ORDER_SUCCESSFUL,Giao dịch vẫn đang được xử lý,,
2,DUPLICATE,"Giao dịch thất bại, tài khoản chưa bị trừ tiền, vui lòng thực hiện lại.",,
1,SUCCESSFUL,Giao dịch thành công,Success,
0,EXCEPTION,"Hệ thống đang có lỗi, vui lòng quay lại sau.",System,
-148,UM_EXCEPTION,"Hệ thống đang có lỗi, vui lòng quay lại sau.",System,
-192,MAP_CARD_INFO_INVALID,Thông tin thẻ không chính xác.,User,
-275,ZPBANK_MAPCARD_FAIL,Liên kết thẻ thất bại,User/Bank,
-284,NEED_REGISTER_ONLINE_PAYMENT,Thẻ chưa đăng ký dịch vụ thanh toán trực tuyến với ngân hàng. Vui lòng liên hệ ngân hàng để đăng ký dịch vụ thanh toán trực tuyến.,User,
-312,ZPBANK_MAP_ACCOUNT_FAIL,Liên kết tài khoản thất bại,User/Bank,
