Return code, Name,Render System,Bank name,Message Display,Ghi chú
-5029.0,BANK_CARD_NOT_REGISTERED_ONLINE_PAYMENT,BC,,Thẻ/ Tài khoản chưa đăng ký dịch vụ Thanh toán trực tuyến. Vui lòng liên hệ với Ngân hàng để được hướng dẫn đăng ký.,
,,BC|SCB|ZPSTB2,Sacombank,"Thẻ chưa đăng ký dịch vụ e-commerce. Để đăng ký, bạn vui lòng gọi hotline ngân hàng 1800585888 hoặc soạn tin nhắn SMS gửi 8149 theo cú pháp: THE MO_ECOM [4 số cuối của số thẻ].",
,,BC|HDB|ZPHDB,HDbank,"Thẻ/ tài khoản chưa đăng ký dịch vụ thanh toán trực tuyến. Để đăng ký, bạn soạn tin nhắn theo cú pháp HDB STAONE [Tên đăng nhập Ebanking] [Mật khẩu SMS Banking] gửi 8149; hoặc truy cập vào Internet Banking HDBank, chọn mục Quản lý dịch vụ để cài đặt.",
,,BC|VARB|ZPAGBC	,,"Thẻ/ Tài khoản chưa đăng ký dịch vụ Thanh toán trực tuyến
Trong trường hợp bạn vừa chuyển từ thẻ từ sang thẻ chip, vui lòng thực hiện đăng ký thanh toán trực tuyến mới tại ứng dụng Agribank E-Mobile Banking hoặc tại ATM
Bạn có thể liên hệ ngân hàng qua số hotline <b>1900 55 88 18</b> để được hỗ trợ.        ",
,,Ngân hàng liên kết thông qua napas,,"1. Tư vấn theo Script:

""Chào bạn,
Cảm ơn bạn đã quan tâm và sử dụng dịch vụ của ví điện tử ZaloPay.

Yêu cầu kiểm tra giao dịch liên kết thẻ của bạn đã được ZaloPay chuyển thông tin đến ngân hàng kiểm tra, hiện tại đối với một số ngân hàng dịch vụ Internet Banking (ngân hàng điện tử) và Ecommerce (thanh toán trực tuyến) là 2 dịch vụ khác nhau, bạn vui lòng đến chi nhánh/phòng giao dịch của ngân hàng sau đó nêu rõ với giao dịch viên về việc cần hỗ trợ đăng ký dịch vụ thanh toán trực tuyến tại cổng NAPAS để được kiểm tra việc đăng ký dịch vụ và hỗ trợ chi tiết nhé.

Nếu cần hỗ trợ thêm thông tin bạn vui lòng phản hồi lại email này hoặc gửi yêu cầu tại Trung tâm hỗ trợ để được phản hồi nhanh chóng.
ZaloPay xin chân thành cảm ơn.""
 
2. KH phản ánh đã liên hệ NH và  đăng ký đầy đủ dịch vụ nhưng vẫn không liên kết được thì ghi nhận case chuyển SL.",Hình ảnh liên kết thẻ trong BC
-5033.0,BANK_INACTIVE_CARD,BC,,"Thẻ/Tài khoản chưa kích hoạt hoặc đang bị khóa, vui lòng liên hệ Ngân hàng phát hành để được hỗ trợ.",
,,BC|CC|ZPSTB2,Sacombank,"Hướng dẫn KH kiểm tra lại với NH có thể xảy ra 2 trường hợp sau:
- Thẻ/ Tài khoản chưa kích hoạt hoặc đang bị khóa. Bạn vui lòng gọi hotline 1800585888 của ngân hàng Sacombank để được hỗ trợ.
- Phương thức xác thực của thẻ (OTP/ SMS) có đang hoạt động hay không, nếu không cần kích hoạt lại dịch vụ thì sẽ liên kết được ",
,,BC|SCB|ZPSTB2,,,
,,,BIDV,"Theo thông tin từ BIDV, từ 18h ngày 8/12/2024, BIDV đã ngưng hỗ trợ Thẻ Từ.
Vì vậy các Thẻ Từ BIDV đã được liên kết trước đó khi giao dịch sẽ xuất hiện lỗi ""BANK_INACTIVE_CARD (-5033)"".

HXL: những trường hợp này BIDV báo cần unlink & liên kết lại với Thẻ Ngân hàng gắn Chip để giao dịch được trở lại.
",
-5036.0,,BC,,Loại thẻ của bạn không hỗ trợ cho giao dịch này. Vui lòng liên hệ ngân hàng phát hành thẻ để được hỗ trợ.,
,,BC|CC|ZPSTB2,Sacombank,Loại thẻ của bạn không hỗ trợ cho giao dịch này. Bạn vui lòng gọi hotline 1800585888 của ngân hàng Sacombank để được hỗ trợ.,
,,BC|SCB|ZPSTB2,,,
,,BC|OCB|ZPOCB,OCB,Gói tài khoản OCB OMNI không được hỗ trợ. Vui lòng liên hệ Ngân hàng để được hỗ trợ trước khi thực hiện lại giao dịch,
,,BC|BIDV|ZPBIDV,BIDV,"Theo chính sách của ngân hàng, tài khoản BIDV này chưa được hỗ trợ để liên kết ví điện tử vì đang dùng gói phi tài chính. Vui lòng đến chi nhánh BIDV gần nhất để nâng cấp thành gói tài chính hoặc liên hệ hotline ngân hàng 1900 9247 để được hỗ trợ.",
-5038.0,,BC,,Thẻ/tài khoản không hợp lệ. Có thể xảy ra do một trong các lý do sau:,
,,,,"- Số thẻ/tài khoản, tên chủ thẻ/tài khoản hoặc ngày phát hành thẻ v.v... không đúng",
,,,,- Thẻ/tài khoản chưa được kích hoạt hoặc đang ở trạng thái không giao dịch được,
,,,,Vui lòng nhập lại thông tin thẻ/tài khoản hoặc liên hệ ngân hàng phát hành để được hỗ trợ.,
,,BC|MB|,MBBank,Thẻ không hợp lệ. Có thể xảy ra do một trong các lý do sau:,
,,,,"- Số thẻ, tên chủ thẻ hoặc ngày phát hành thẻ v.v... không đúng",
,,,,- Thẻ chưa được kích hoạt hoặc đang ở trạng thái không giao dịch được,
,,,,Vui lòng nhập lại thông tin thẻ hoặc gọi hotline 1900 54 54 26 của ngân hàng MBBank để được hỗ trợ.,
,,BC|VARB|ZPAGBC,Agribank,"Có thể do một số nguyên nhân sau:
- Số thẻ, tên chủ thẻ, ngày phát hành thẻ v.v. không đúng
- Thẻ chưa đăng ký giao dịch Internet/ dịch vụ thanh toán trực tuyến. Xem hướng dẫn đăng ký tại đây

Để liên kết thành công, bạn thử các cách sau:
- Kiểm tra và nhập đúng thông tin: Tên chủ thẻ, thời gian phát hành thẻ
- Nếu thẻ chưa đăng ký giao dịch Internet/ dịch vụ thanh toán trực tuyến, bạn có thể bật trên ứng dụng E-Mobile Banking của Agribank và liên kết lại. Bạn xem hướng dẫn theo video (bên dưới) hoặc gọi 1900 55 88 18 để được ngân hàng Agribank hỗ trợ.

<Link video https://www.youtube.com/watch?v=oPCnDtveD5w>
",
,,BC|VCB|ZPVCBC,Vietcombank,"Thẻ không hợp lệ. Có thể xảy ra do một trong các lý do sau:<br>
- Số thẻ, tên chủ thẻ hoặc ngày phát hành thẻ v.v... không đúng<br>
- Thẻ chưa được kích hoạt hoặc đang ở trạng thái không giao dịch được<br>
-Thẻ vừa chuyển từ thẻ từ sang thẻ chip<br>
Vui lòng nhập lại thông tin thẻ hoặc gọi hotline 1900 54 54 13 ngân hàng Vietcombank để được hỗ trợ. ",
,,BC|VCB|ZPVCB2,Vietcombank,Tài khoản không hợp lệ. Có thể xảy ra do một trong các lý do sau:,
,,,,"- Số tài khoản, tên chủ tài khoản hoặc số CMND/ hộ chiếu v.v... không đúng",
,,,,- Số điện thoại gắn với ví ZaloPay không trùng khớp số điện thoại đăng ký dịch vụ SMS Banking/ VCB Digibank,
,,,,Vui lòng nhập lại thông tin tài khoản hoặc gọi đến hotline 1900 545413 để được ngân hàng Vietcombank hỗ trợ.,
,,BC|CC|ZPSTB2,Sacombank,"Sai thông tin thẻ (Số thẻ hoặc, tên chủ thẻ hoặc, ngày phát hành thẻ không đúng). Vui lòng thực hiện lại.",
