Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"VÍ DỤ MỘT SỐ MÃ LỖI FAIL RULE RISK CS THƯỜNG GẶP (-244,-332,-348,-352,-354,-356,-357,-358,-359,-361,-362, ...)",,,,,,
,"Các tình huống và hướng xử lý khi gặp các mã lỗi trên tool TPE- Thông tin giao dịch:
- TH1: Hệ thống trả mã lỗi và PE Return Message rõ ràng, CS đối chiếu trùng với HXL trên FAQ > CS tư vấn theo thông tin đã có cho KH
- TH2: Hệ thống trả mã lỗi và PE Return Message rõ ràng nhưng trên FAQ không có thông tin mã lỗi và HXL > CS tư vấn kết quả theo PE Return Message cho KH + Chuyển case cho QC update lên FAQ
- TH3: Hệ thống trả mã lỗi và PE Return Message không trùng với HXL trên FAQ/không rõ ràng > CS tạo jira kiểm tra với BPLQ

PE Return Message là thông báo của hệ thống phản hồi kết quả và HXL cho KH",,,,,
Mã lỗi,Nội dung thông báo,Thông báo khách hàng nhận được,Ý nghĩa,Nguyên nhân,Hướng giải quyết,Note
-10325, BM_CARD_LINKED,, Thẻ đã được liên kết trước đó ,,,
-6035, ZPGW_GET_TRANS_STATUS_FAILED,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-6034, ZPGW_GET_ORDER_FAIL ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-6033, ZPGW_ORDER_EXPIRED,," Đơn hàng hết hạn thanh toán, vui lòng thử lại ",,,
-6032, ZPGW_PROMTION_INVALID ,, Thông tin ưu đãi không hợp lệ ,,,
-6031, ZPGW_NOT_SUPPORT_PROMTION ,, Giao dịch không hỗ trợ thanh toán có ưu đãi ,,,
-6030, ZPGW_PAY_WITHOUT_PROMTION ,, Tiếp tục thanh toán mà không hưởng ưu đãi ,,,
-6029, ZPGW_AMOUNT_NOT_SUPPORT_PROMTION,, Thẻ không được hưởng ưu đãi ,,,
-6028, ZPGW_PAY_WITHOUT_BIN_NOT_SUPPORT_PROMTION ,,,,,
-6027, ZPGW_BIN_NOT_SUPPORT_PROMTION ,, Đầu thẻ không hỗ trợ thanh toán có ưu đãi ,,,
-6026, ZPGW_REGISTER_PROMOTION_FAILED,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-6025, ZPGW_GET_PROMOTION_INFO_FAILED,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-6023, ZPGW_CLIENT_IP_NOT_ALLOWED,, Không hỗ trợ cập nhật config,,,
-6022, ZPGW_CARD_NOT_SUPPORTED ,, Thẻ không hỗ trợ thanh toán ,,,
-6021, ZPGW_CARD_EXPIRED_DATE_INVALID,, Ngày hết hạn thẻ không hợp lệ ,,,
-6020, ZPGW_CARD_ISSUED_DATE_INVALID ,, Ngày phát hành thẻ không hợp lệ ,,,
-6019, ZPGW_CARD_HOLDERNAME_INVALID,, Tên chủ thẻ không hợp lệ,,,
-6018, ZPGW_REQUEST_NOT_AUTHEN ,, Giao dịch không được xác thực ,,,
-6017, ZPGW_STEP_INVALID ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-6016, ZPGW_ATM_FINISH_FAILED,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-6015, ZPGW_AUTHEN_CARD_FAILED ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-6014, ZPGW_SUBMIT_TRANS_FAILED,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-6013, ZPGW_SUBMIT_BANK_FAILED ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-6012, ZPGW_CANCELED_TRANSACTION ,, Giao dịch đã bị hủy bởi người dùng,,,
-6011, ZPGW_BIN_NOT_SUPPORT,," Số thẻ ngân hàng không hỗ trợ thanh toán, vui lòng nhập lại ",,,
-6010, ZPGW_CARD_NUMBER_INVALID,," Thông tin thẻ không hợp lệ, vui lòng nhập lại ",,,
-6005, ZPGW_ORDER_ID_INVALID ,, Thông tin đơn hàng không hợp lệ ,,,
